joinname_author,gender,sector,level,level_2010,level_changed,university,universityrank,department,georegion,first_pub,last_pub,years_diff,total_pub,year,n_author,f_i,int_score,int_pre_post,ANVUR,pub_pre_post,c_avg,cit_pre_post,coauthors_pre_post,fss,fss_pre_post,fascia_journal,fascia_pre_post,proportion_fascia,uni_cat,uniDept,id
abbatecola_emanuela,F,SPS/09,associate professor,assistant professor,not_same_level,GENOVA,high,Humanities,north,2012,2012,1,1,2012,4,0.25,0.75,0.75,Post_ANVUR,1,3.55972696245734,1,3,0.070230105465005,0.070230105465005,not_fascia_A,1,1,19,19   Humanities,1
abbruzzese_salvatore,M,SPS/08,full professor,full professor,same_level,TRENTO,medium,Sociology,north,2012,2012,1,1,2012,1,1,0,0,Post_ANVUR,1,3.55972696245734,0,0,0,0,not_fascia_A,1,1,57,57   Sociology,2
acocella_ivana,F,SPS/07,assistant professor,assistant professor,same_level,FIRENZE,high,Political Sciences,center,2012,2012,1,1,2012,1,1,0,0,Post_ANVUR,1,3.55972696245734,13,0,3.65196548418025,3.65196548418025,not_fascia_A,1,1,18,18   Political Sciences,3
addeo_felice,M,SPS/07,assistant professor,assistant professor,same_level,SALERNO,high,Political Sciences,south,2007,2014,7,2,2014,4,0.25,0,0,Post_ANVUR,1,1.59946949602122,0,3,0.176596011538944,0,not_fascia_A,1,1,47,47   Political Sciences,4
addeo_felice,M,SPS/07,assistant professor,assistant professor,same_level,SALERNO,high,Political Sciences,south,2007,2014,7,2,2007,3,0.333333333333333,0,0,Before_ANVUR,1,11.8645833333333,44,2,0.176596011538944,0.176596011538944,not_fascia_A,1,1,47,47   Political Sciences,4
agodi_maria_carmela,F,SPS/07,full professor,full professor,same_level,"NAPOLI ""Federico II""",high,Political Sciences,south,2015,2015,1,1,2015,4,0.25,0,0,Post_ANVUR,1,0.420353982300885,0,3,0,0,not_fascia_A,1,1,32,32   Political Sciences,5
agustoni_alfredo,M,SPS/10,assistant professor,assistant professor,same_level,CHIETI-PESCARA,medium,Humanities,south,2012,2012,1,1,2012,2,0.5,0,0,Post_ANVUR,1,3.55972696245734,7,1,0.983221476510067,0.983221476510067,fascia_A,1,1,14,14   Humanities,6
albano_roberto,M,SPS/07,associate professor,associate professor,same_level,TORINO,high,Social Sciences,north,2010,2012,2,2,2012,3,0.333333333333333,0,0,Post_ANVUR,1,3.55972696245734,0,2,0.287895310796074,0,not_fascia_A,1,1,56,56   Social Sciences,7
albano_roberto,M,SPS/07,associate professor,associate professor,same_level,TORINO,high,Social Sciences,north,2010,2012,2,2,2010,2,0.5,0,0,Before_ANVUR,1,5.21022727272727,6,1,0.287895310796074,0.287895310796074,not_fascia_A,1,1,56,56   Social Sciences,7
albertini_marco,M,SPS/09,associate professor,assistant professor,not_same_level,BOLOGNA,high,Political Sciences,north,2007,2015,8,14,2015,2,0.5,0,0.142857142857143,Post_ANVUR,7,0.420353982300885,58,1,2.44642353380353,1.41985400366367,not_fascia_A,7,1,7,7   Political Sciences,8
albertini_marco,M,SPS/09,associate professor,assistant professor,not_same_level,BOLOGNA,high,Political Sciences,north,2007,2015,8,14,2014,2,0.5,0,0.142857142857143,Post_ANVUR,7,1.59946949602122,58,1,2.44642353380353,1.41985400366367,not_fascia_A,7,1,7,7   Political Sciences,8
